ensembl_gene_id	chromosome_name	start_position	end_position	mmusculus_homolog_ensembl_gene	mmusculus_homolog_orthology_confidence
ENSG00000088881	20	2673524	2740753	ENSMUSG00000053552	1
ENSG00000101162	20	57594309	57601709	ENSMUSG00000016255	1
ENSG00000140285	15	49715293	49780972	ENSMUSG00000027208	1
ENSG00000101457	20	44420576	44440066	ENSMUSG00000017299	1
ENSG00000154721	21	27011584	27089874	ENSMUSG00000053062	1
ENSG00000185088	15	63418071	63450220	ENSMUSG00000036781	1
ENSG00000166128	15	63481668	63559981	ENSMUSG00000036943	1
ENSG00000175063	20	44441215	44445596	ENSMUSG00000001403	1
ENSG00000124091	20	55066548	55100981	ENSMUSG00000074569	0
ENSG00000101166	20	57608200	57617964	ENSMUSG00000016257	1
ENSG00000167220	18	44633774	44676891	ENSMUSG00000025421	1
ENSG00000154723	21	27088815	27107984	ENSMUSG00000022890	1
ENSG00000171448	9	125677845	125693779	ENSMUSG00000050714	1
ENSG00000104047	15	49913177	49937333	ENSMUSG00000023330	1
ENSG00000088882	20	2774715	2781283	ENSMUSG00000027408	1
ENSG00000104140	15	41164412	41166487	ENSMUSG00000034226	1
ENSG00000140564	15	91411822	91426688	ENSMUSG00000030530	1
ENSG00000140157	15	23004684	23034427	ENSMUSG00000030452	1
ENSG00000267228	18	44661027	44702652	ENSMUSG00000094886	0
ENSG00000154727	21	27106881	27144771	ENSMUSG00000008976	1
ENSG00000087510	20	55204358	55214339	ENSMUSG00000028640	1
ENSG00000124203	20	57766075	57834168	ENSMUSG00000050600	1
ENSG00000101470	20	44451853	44462384	ENSMUSG00000017300	1
ENSG00000104142	15	41186628	41196173	ENSMUSG00000034216	1
ENSG00000011454	9	125703112	125867145	ENSMUSG00000035437	1
ENSG00000134049	18	44681413	44702745	ENSMUSG00000090000	1
ENSG00000124205	20	57875482	57901047	ENSMUSG00000027524	0
ENSG00000128917	15	41221538	41231237	ENSMUSG00000027314	1
ENSG00000198326	20	2795614	2800930	ENSMUSG00000049692	1
ENSG00000180777	18	14728271	14852737	ENSMUSG00000020481	0
ENSG00000101144	20	55743804	55841685	ENSMUSG00000008999	1
ENSG00000215474	18	44746293	44775554	ENSMUSG00000091519	1
ENSG00000258713	20	2795633	2796479	ENSMUSG00000027409	1
ENSG00000188394	9	125796806	125797975	ENSMUSG00000053164	1
ENSG00000132635	20	2815960	2821836	ENSMUSG00000037773	1
ENSG00000175387	18	45357922	45457515	ENSMUSG00000024563	1
ENSG00000104043	15	50150435	50475014	ENSMUSG00000060131	1
ENSG00000165209	9	125871779	126030855	ENSMUSG00000026915	1
ENSG00000182511	15	91426925	91439006	ENSMUSG00000053158	1
ENSG00000170113	15	23043277	23100005	ENSMUSG00000047037	1
ENSG00000054796	20	55904815	55919050	ENSMUSG00000005883	1
ENSG00000074410	15	63613577	63674360	ENSMUSG00000032373	1
ENSG00000087495	20	58152564	58422766	ENSMUSG00000027525	1
ENSG00000067900	18	18526867	18691812	ENSMUSG00000024290	1
ENSG00000128965	15	41245160	41248710	ENSMUSG00000027313	1
ENSG00000124104	20	44462449	44471914	ENSMUSG00000050373	1
ENSG00000148204	9	126118449	126142603	ENSMUSG00000035403	1
ENSG00000101146	20	55926066	55954267	ENSMUSG00000027509	1
ENSG00000215305	20	2821349	2847378	ENSMUSG00000027411	1
ENSG00000142192	21	27252861	27543446	ENSMUSG00000022892	1
ENSG00000101473	20	44470360	44486045	ENSMUSG00000017307	1
ENSG00000128908	15	41271078	41408552	ENSMUSG00000034154	1
ENSG00000140284	15	50474393	50528592	ENSMUSG00000027359	1
ENSG00000132819	20	55966463	55984389	ENSMUSG00000027510	1
ENSG00000107099	9	214854	465259	ENSMUSG00000052085	1
ENSG00000119522	9	126141933	126692431	ENSMUSG00000035392	1
ENSG00000141449	18	18822203	19105378	ENSMUSG00000042942	1
ENSG00000166265	21	27838528	27945603	ENSMUSG00000041134	1
ENSG00000196074	20	58438618	58508710	ENSMUSG00000060445	1
ENSG00000140287	15	50534144	50558223	ENSMUSG00000027360	1
ENSG00000140455	15	63796793	63886839	ENSMUSG00000032376	1
ENSG00000184828	18	45553044	45937123	ENSMUSG00000044646	1
ENSG00000154734	21	28208066	28217728	ENSMUSG00000022893	1
ENSG00000106689	9	126763949	126795580	ENSMUSG00000000247	1
ENSG00000154736	21	28290231	28338832	ENSMUSG00000022894	1
ENSG00000196199	13	20207788	20247599	ENSMUSG00000079184	1
ENSG00000178997	15	41474923	41522941	ENSMUSG00000048647	1
ENSG00000156239	21	30244513	30257693	ENSMUSG00000044442	1
ENSG00000196547	15	91445448	91465814	ENSMUSG00000038886	1
ENSG00000107104	9	470291	746105	ENSMUSG00000032702	1
ENSG00000121390	13	20248896	20357142	ENSMUSG00000021938	1
ENSG00000119408	9	127019885	127115586	ENSMUSG00000026749	1
ENSG00000137090	9	841690	969090	ENSMUSG00000024837	1
ENSG00000104064	15	50569389	50647605	ENSMUSG00000027361	1
ENSG00000179455	15	23810454	23873064	ENSMUSG00000070527	0
ENSG00000134030	18	46065417	46389588	ENSMUSG00000052928	1
ENSG00000064218	9	976964	991731	ENSMUSG00000042372	1
ENSG00000132950	13	20397622	20437776	ENSMUSG00000040123	0
ENSG00000198862	21	30300466	30365270	ENSMUSG00000052299	1
ENSG00000254585	15	23888691	23891175	ENSMUSG00000056972	0
ENSG00000182636	15	23930565	23932450	ENSMUSG00000033585	1
ENSG00000132801	20	44486256	44507761	ENSMUSG00000045822	1
ENSG00000136930	9	127115745	127177723	ENSMUSG00000026750	1
ENSG00000173253	9	1050354	1057552	ENSMUSG00000048138	1
ENSG00000168612	20	44509866	44513905	ENSMUSG00000017764	1
ENSG00000124092	20	56071035	56100708	ENSMUSG00000070495	1
ENSG00000187446	15	41523037	41574043	ENSMUSG00000014077	1
ENSG00000149634	20	44515128	44516274	ENSMUSG00000017767	1
ENSG00000124257	20	44517264	44519926	ENSMUSG00000039873	1
ENSG00000104147	15	41601466	41624819	ENSMUSG00000072980	1
ENSG00000156253	21	30376705	30391699	ENSMUSG00000041079	1
ENSG00000136931	9	127243516	127269709	ENSMUSG00000026751	1
ENSG00000101665	18	46446223	46477081	ENSMUSG00000025880	1
ENSG00000196227	20	58508819	58523735	ENSMUSG00000070476	1
ENSG00000132670	20	2844830	3019722	ENSMUSG00000027303	1
ENSG00000132825	20	58511894	58515352	ENSMUSG00000049999	1
ENSG00000128739	15	25068794	25223870	ENSMUSG00000000948	1
ENSG00000148200	9	127279554	127533589	ENSMUSG00000063972	1
ENSG00000124215	20	58533471	58609066	ENSMUSG00000039155	1
ENSG00000064601	20	44518783	44527459	ENSMUSG00000017760	1
ENSG00000185585	9	127539437	127577164	ENSMUSG00000046618	1
ENSG00000156256	21	30396950	30426809	ENSMUSG00000025616	1
ENSG00000141446	18	19109242	19180845	ENSMUSG00000024293	1
ENSG00000121741	13	20532810	20665968	ENSMUSG00000021945	1
ENSG00000137804	15	41624892	41673248	ENSMUSG00000027306	1
ENSG00000197361	15	63889552	63894627	ENSMUSG00000050503	0
ENSG00000136918	9	127615755	127620160	ENSMUSG00000035295	1
ENSG00000080503	9	2015342	2193624	ENSMUSG00000024921	1
ENSG00000136950	9	127624409	127640003	ENSMUSG00000026755	1
ENSG00000167088	18	19192228	19210417	ENSMUSG00000002477	1
ENSG00000128218	22	24094930	24096655	ENSMUSG00000000903	1
ENSG00000138592	15	50716577	50793280	ENSMUSG00000027363	1
ENSG00000179242	20	59827482	60515673	ENSMUSG00000000305	1
ENSG00000136935	9	127640646	127710771	ENSMUSG00000026754	1
ENSG00000169314	22	24105208	24108048	ENSMUSG00000050157	0
ENSG00000173281	8	8993765	9009084	ENSMUSG00000046794	1
ENSG00000103657	15	63900817	64126141	ENSMUSG00000038664	1
ENSG00000158201	18	19230858	19284766	ENSMUSG00000002475	1
ENSG00000250479	22	24108021	24110630	ENSMUSG00000049422	1
ENSG00000124253	20	56136136	56141513	ENSMUSG00000027513	1
ENSG00000121743	13	20712394	20735188	ENSMUSG00000048582	1
ENSG00000141627	18	46570039	46987717	ENSMUSG00000035765	1
ENSG00000165474	13	20761609	20767037	ENSMUSG00000046352	1
ENSG00000140553	15	91473410	91497323	ENSMUSG00000030533	1
ENSG00000102309	X	71401203	71522776	ENSMUSG00000079480	1
ENSG00000099953	22	24110413	24126503	ENSMUSG00000000901	1
ENSG00000121742	13	20796110	20806534	ENSMUSG00000040055	1
ENSG00000173611	9	127704887	127905785	ENSMUSG00000035236	1
ENSG00000156261	21	30428126	30446118	ENSMUSG00000025613	1
ENSG00000173273	8	9413424	9639856	ENSMUSG00000031529	1
ENSG00000130699	20	60528525	60640866	ENSMUSG00000039117	1
ENSG00000147852	9	2621834	2660053	ENSMUSG00000024924	1
ENSG00000186871	X	71424510	71458897	ENSMUSG00000051220	1
ENSG00000165475	13	20977806	21099996	ENSMUSG00000021947	1
ENSG00000035664	15	64199235	64364232	ENSMUSG00000032380	1
ENSG00000137806	15	41679551	41694717	ENSMUSG00000027305	1
ENSG00000099956	22	24129150	24176703	ENSMUSG00000000902	1
ENSG00000198034	X	71475529	71497150	ENSMUSG00000031320	1
ENSG00000177576	18	47008028	47013622	ENSMUSG00000036299	1
ENSG00000119414	9	127908852	127952218	ENSMUSG00000026753	1
ENSG00000137815	15	41700606	41775761	ENSMUSG00000027304	1
ENSG00000101752	18	19284918	19450918	ENSMUSG00000024294	1
ENSG00000124256	20	56178902	56195632	ENSMUSG00000027514	0
ENSG00000166797	15	64364758	64386217	ENSMUSG00000032381	1
ENSG00000099958	22	24176690	24181315	ENSMUSG00000009092	1
ENSG00000168263	9	2717502	2730037	ENSMUSG00000047298	1
ENSG00000125901	20	3026591	3028900	ENSMUSG00000037740	1
ENSG00000101405	20	3052266	3053163	ENSMUSG00000027301	1
ENSG00000149657	20	60697517	60710434	ENSMUSG00000039108	1
ENSG00000170236	15	50792759	50838905	ENSMUSG00000027364	1
ENSG00000101200	20	3063202	3065370	ENSMUSG00000037727	1
ENSG00000136933	9	127962821	127996437	ENSMUSG00000070953	1
ENSG00000147535	8	38120648	38126761	ENSMUSG00000031570	1
ENSG00000102100	X	48760459	48769235	ENSMUSG00000031156	1
ENSG00000080608	9	2720469	2844241	ENSMUSG00000041360	1
ENSG00000032742	13	21140585	21265503	ENSMUSG00000040040	1
ENSG00000044574	9	127997132	128003609	ENSMUSG00000026864	1
ENSG00000156265	21	30449792	30548210	ENSMUSG00000025610	0
ENSG00000124225	20	56223448	56286592	ENSMUSG00000038400	1
ENSG00000175806	8	9911778	10286401	ENSMUSG00000054733	0
ENSG00000172458	13	21276266	21297237	ENSMUSG00000050222	1
ENSG00000028528	15	64386322	64438289	ENSMUSG00000032382	1
ENSG00000092439	15	50844670	50979012	ENSMUSG00000027365	1
ENSG00000169762	4	16162128	16229033	ENSMUSG00000046985	1
ENSG00000150456	13	21302870	21348097	ENSMUSG00000021951	1
ENSG00000265681	18	47014851	47018906	ENSMUSG00000091361	0
ENSG00000102096	X	48770459	48776301	ENSMUSG00000031155	1
ENSG00000101182	20	60711791	60718496	ENSMUSG00000027566	1
ENSG00000114062	15	25582381	25684128	ENSMUSG00000025326	1
ENSG00000156273	21	30566392	31003071	ENSMUSG00000025612	1
ENSG00000124237	20	56725960	56736206	ENSMUSG00000027518	1
ENSG00000080298	9	3218297	3526004	ENSMUSG00000040929	1
ENSG00000100979	20	44527399	44540794	ENSMUSG00000017754	1
ENSG00000137825	15	41785591	41795747	ENSMUSG00000027296	1
ENSG00000124227	20	56793551	56803709	ENSMUSG00000027517	1
ENSG00000132953	13	21351469	21477187	ENSMUSG00000021952	1
ENSG00000186416	X	118722300	118739858	ENSMUSG00000044149	1
ENSG00000185019	20	3088219	3140842	ENSMUSG00000027300	1
ENSG00000068308	X	48779305	48815648	ENSMUSG00000031154	1
ENSG00000123908	8	141541264	141645718	ENSMUSG00000036698	1
ENSG00000187954	8	145674965	145691060	ENSMUSG00000053929	1
ENSG00000125931	X	71521488	71527037	ENSMUSG00000051159	1
ENSG00000240972	22	24236191	24237414	ENSMUSG00000033307	1
ENSG00000141448	18	19749404	19782491	ENSMUSG00000005836	1
ENSG00000215251	20	3127165	3140543	ENSMUSG00000079043	1
ENSG00000062524	15	41795836	41806085	ENSMUSG00000027297	1
ENSG00000088899	20	3143263	3154192	ENSMUSG00000037703	1
ENSG00000107249	9	3824127	4348392	ENSMUSG00000052942	1
ENSG00000150457	13	21547171	21635686	ENSMUSG00000021959	1
ENSG00000184647	8	10383056	10411676	ENSMUSG00000034623	1
ENSG00000198171	20	3170996	3185331	ENSMUSG00000068290	1
ENSG00000184402	20	60718822	60757540	ENSMUSG00000039086	1
ENSG00000145321	4	72607410	72669758	ENSMUSG00000035540	1
ENSG00000183638	8	10463859	10569697	ENSMUSG00000046049	0
ENSG00000237375	GL000213.1	108007	139339	ENSMUSG00000096265	0
ENSG00000171060	8	10530147	10558103	ENSMUSG00000021961	1
ENSG00000171189	21	30909254	31312351	ENSMUSG00000022935	1
ENSG00000125877	20	3189514	3204516	ENSMUSG00000074797	1
ENSG00000165219	9	128024073	128129486	ENSMUSG00000026867	1
ENSG00000101670	18	47087069	47119272	ENSMUSG00000053846	1
ENSG00000165480	13	21727734	21750741	ENSMUSG00000021965	1
ENSG00000106688	9	4490444	4587469	ENSMUSG00000024935	1
ENSG00000172007	4	140374386	140397763	ENSMUSG00000027739	1
ENSG00000184674	22	24376133	24384680	ENSMUSG00000001663	1
ENSG00000101773	18	20378224	20606451	ENSMUSG00000041238	1
ENSG00000138600	15	50999506	51058005	ENSMUSG00000027366	1
ENSG00000184508	15	91474148	91475799	ENSMUSG00000030532	1
ENSG00000124209	20	56884752	56942563	ENSMUSG00000027519	1
ENSG00000147548	8	38127215	38239790	ENSMUSG00000054823	1
ENSG00000157734	15	64443914	64449680	ENSMUSG00000039452	1
ENSG00000185015	8	86132816	86196302	ENSMUSG00000027555	1
ENSG00000156282	21	31538241	31538971	ENSMUSG00000055811	1
ENSG00000173141	13	21750784	21753223	ENSMUSG00000021967	1
ENSG00000254093	8	10622473	10697394	ENSMUSG00000021958	1
ENSG00000156284	21	31586324	31588391	ENSMUSG00000050520	1
ENSG00000188694	21	31653629	31655276	ENSMUSG00000050239	1
ENSG00000167702	8	145691426	145699585	ENSMUSG00000004187	1
ENSG00000166965	15	91498100	91506349	ENSMUSG00000038930	1
ENSG00000197683	21	31691452	31692607	ENSMUSG00000071471	1
ENSG00000166794	15	64448011	64455404	ENSMUSG00000032383	1
ENSG00000206107	21	31709331	31710012	ENSMUSG00000090515	0
ENSG00000182816	21	31743709	31744557	ENSMUSG00000056350	0
ENSG00000145391	4	140417095	140527853	ENSMUSG00000037111	1
ENSG00000198390	21	31768392	31769136	ENSMUSG00000050704	0
ENSG00000240432	21	31797583	31798286	ENSMUSG00000050224	0
ENSG00000171044	8	10753555	11058875	ENSMUSG00000035067	1
ENSG00000186971	21	31802572	31803216	ENSMUSG00000022931	0
ENSG00000170006	4	153539784	153601317	ENSMUSG00000056498	1
ENSG00000180776	13	21950263	22033509	ENSMUSG00000021969	1
ENSG00000103932	15	41809374	41836467	ENSMUSG00000034032	1
ENSG00000124164	20	56964178	57026157	ENSMUSG00000054455	1
ENSG00000101181	20	60758085	60778624	ENSMUSG00000039069	1
ENSG00000102057	X	48818639	48827976	ENSMUSG00000009731	1
ENSG00000169989	4	153690506	153700916	ENSMUSG00000047819	1
ENSG00000106686	9	4553386	4666674	ENSMUSG00000064202	0
ENSG00000145348	4	106962756	107242652	ENSMUSG00000028030	1
ENSG00000099991	22	24407642	24574596	ENSMUSG00000020196	0
ENSG00000088836	20	3208063	3219836	ENSMUSG00000074796	1
ENSG00000206190	15	25922420	26110317	ENSMUSG00000025324	1
ENSG00000104643	8	11141925	11185646	ENSMUSG00000035078	1
ENSG00000165487	13	22066836	22178353	ENSMUSG00000021973	1
ENSG00000183640	21	32185016	32185570	ENSMUSG00000059632	1
ENSG00000164113	4	123300121	123350957	ENSMUSG00000027719	1
ENSG00000182591	21	32252966	32253874	ENSMUSG00000091212	1
ENSG00000198901	15	91509270	91538859	ENSMUSG00000038943	1
ENSG00000125354	X	118749687	118827333	ENSMUSG00000050379	1
ENSG00000164144	4	153701089	153839615	ENSMUSG00000074513	1
ENSG00000151615	4	147560045	147563626	ENSMUSG00000031688	1
ENSG00000205808	9	4662298	4665256	ENSMUSG00000040105	1
ENSG00000167315	18	47309869	47340330	ENSMUSG00000036880	1
ENSG00000183090	4	144498455	144621828	ENSMUSG00000042353	1
ENSG00000102678	13	22245522	22278637	ENSMUSG00000021974	1
ENSG00000085871	4	140586922	140661899	ENSMUSG00000074604	1
ENSG00000182378	X	192989	220023	ENSMUSG00000064247	1
ENSG00000106993	9	4679559	4708398	ENSMUSG00000024780	1
ENSG00000099994	22	24577227	24585078	ENSMUSG00000006342	0
ENSG00000169744	4	16503164	16900432	ENSMUSG00000039706	1
ENSG00000156299	21	32490734	32932290	ENSMUSG00000002489	1
ENSG00000081014	15	51200869	51298097	ENSMUSG00000001998	1
ENSG00000102683	13	23755091	23899304	ENSMUSG00000035296	0
ENSG00000101180	20	60790026	60795323	ENSMUSG00000039059	1
ENSG00000119487	9	128199672	128469513	ENSMUSG00000038696	1
ENSG00000137473	4	147627790	147867034	ENSMUSG00000037101	1
ENSG00000178605	X	220025	230886	ENSMUSG00000033434	0
ENSG00000120251	4	158125334	158287227	ENSMUSG00000033981	1
ENSG00000147853	9	4711155	4742043	ENSMUSG00000024782	1
ENSG00000196782	4	140637907	141075338	ENSMUSG00000061143	1
ENSG00000160973	8	145698795	145701718	ENSMUSG00000033837	1
ENSG00000073067	7	1022835	1029276	ENSMUSG00000029541	1
ENSG00000167393	X	294698	347690	ENSMUSG00000095352	0
ENSG00000259316	15	64472547	64665980	ENSMUSG00000032384	1
ENSG00000166206	15	26788693	27184686	ENSMUSG00000033676	1
ENSG00000183578	15	51348795	51397473	ENSMUSG00000074345	1
ENSG00000068400	X	48830134	48858675	ENSMUSG00000031153	1
ENSG00000167306	18	47349183	47721463	ENSMUSG00000025885	1
ENSG00000099998	22	24615622	24641110	ENSMUSG00000006344	1
ENSG00000137460	4	153857504	153900848	ENSMUSG00000041842	1
ENSG00000166803	15	64657193	64679886	ENSMUSG00000040204	1
ENSG00000142168	21	33031935	33041244	ENSMUSG00000022982	1
ENSG00000146540	7	1036622	1177896	ENSMUSG00000053553	1
ENSG00000120158	9	4792869	4885917	ENSMUSG00000024785	1
ENSG00000184056	15	91541646	91565833	ENSMUSG00000030534	1
ENSG00000160972	8	145703352	145727504	ENSMUSG00000033819	1
ENSG00000153130	4	141178440	141306880	ENSMUSG00000063253	1
ENSG00000130703	20	60813580	60871268	ENSMUSG00000039050	1
ENSG00000179934	3	39371197	39375171	ENSMUSG00000042262	1
ENSG00000151835	13	23902965	24007841	ENSMUSG00000048279	0
ENSG00000140006	14	64063757	64108579	ENSMUSG00000045690	1
ENSG00000164849	7	1084212	1098897	ENSMUSG00000044197	1
ENSG00000126821	14	64150932	64194757	ENSMUSG00000021054	1
ENSG00000205755	X	1314890	1331616	ENSMUSG00000033467	0
ENSG00000215699	GL000191.1	36277	50281	ENSMUSG00000060673	0
ENSG00000144659	3	39424839	39438842	ENSMUSG00000032519	1
ENSG00000109654	4	154073494	154260472	ENSMUSG00000027993	1
ENSG00000088854	20	3229951	3388272	ENSMUSG00000027309	1
ENSG00000132164	3	10857885	10982419	ENSMUSG00000030307	1
ENSG00000164125	4	159045626	159094470	ENSMUSG00000027955	1
ENSG00000134508	18	20714528	20840431	ENSMUSG00000040957	1
ENSG00000168028	3	39448180	39454033	ENSMUSG00000047676	0
ENSG00000156304	21	33043346	33104388	ENSMUSG00000022983	1
ENSG00000127863	13	24144509	24250232	ENSMUSG00000060548	1
ENSG00000109471	4	123372625	123377880	ENSMUSG00000027720	1
ENSG00000147099	X	71549366	71792953	ENSMUSG00000067567	1
ENSG00000167081	9	128509624	128729656	ENSMUSG00000038718	1
ENSG00000100982	20	44563267	44576662	ENSMUSG00000039849	1
ENSG00000154319	8	11278972	11332224	ENSMUSG00000035095	1
ENSG00000137869	15	51500254	51630807	ENSMUSG00000032274	1
ENSG00000133742	8	86239837	86291243	ENSMUSG00000027556	1
ENSG00000164850	7	1121844	1133451	ENSMUSG00000053647	1
ENSG00000151617	4	148402069	148466106	ENSMUSG00000031616	1
ENSG00000096968	9	4985033	5128183	ENSMUSG00000024789	1
ENSG00000122547	7	36192758	36341152	ENSMUSG00000036611	1
ENSG00000027001	13	24304328	24463558	ENSMUSG00000021993	1
ENSG00000121211	4	154265801	154336270	ENSMUSG00000033752	1
ENSG00000103671	15	64679947	64747502	ENSMUSG00000032386	1
ENSG00000138684	4	123533783	123542224	ENSMUSG00000027718	1
ENSG00000178381	7	1191707	1200395	ENSMUSG00000053581	1
ENSG00000136573	8	11351510	11422113	ENSMUSG00000014453	1
ENSG00000128271	22	24813847	24838328	ENSMUSG00000020178	1
ENSG00000092445	15	41849873	41871536	ENSMUSG00000027298	1
ENSG00000164124	4	159122756	159176563	ENSMUSG00000027956	1
ENSG00000153132	4	141309609	141349122	ENSMUSG00000002190	1
ENSG00000142149	21	33245628	33416946	ENSMUSG00000053414	1
ENSG00000198026	20	44577292	44600833	ENSMUSG00000039834	1
ENSG00000181004	4	123653857	123666098	ENSMUSG00000051444	1
ENSG00000170004	17	7788124	7816078	ENSMUSG00000018474	1
ENSG00000198223	X	1387693	1429274	ENSMUSG00000059326	0
ENSG00000004660	17	3763609	3798185	ENSMUSG00000020785	1
ENSG00000157103	3	11034410	11080933	ENSMUSG00000030310	1
ENSG00000120210	9	5131979	5185668	ENSMUSG00000050957	0
ENSG00000180357	15	64752941	64978264	ENSMUSG00000040524	1
ENSG00000159055	21	33640530	33651380	ENSMUSG00000022978	1
ENSG00000100024	22	24863206	24924358	ENSMUSG00000033427	1
ENSG00000138685	4	123747863	123819391	ENSMUSG00000037225	1
ENSG00000136574	8	11534468	11617511	ENSMUSG00000021944	1
ENSG00000196814	9	129089128	129269320	ENSMUSG00000038740	1
ENSG00000186417	15	51633826	51700210	ENSMUSG00000046167	1
ENSG00000172361	18	47753563	47792892	ENSMUSG00000035394	1
ENSG00000151552	4	17461884	17513857	ENSMUSG00000015806	1
ENSG00000254995	20	57226490	57290466	ENSMUSG00000027522	1
ENSG00000170262	21	33664124	33687095	ENSMUSG00000039956	0
ENSG00000164853	7	1272543	1276954	ENSMUSG00000029546	1
ENSG00000134490	18	20777108	21017925	ENSMUSG00000049411	1
ENSG00000205693	12	27915671	27924209	ENSMUSG00000072662	1
ENSG00000107020	9	5357973	5437878	ENSMUSG00000016495	1
ENSG00000167701	8	145728356	145732557	ENSMUSG00000022546	1
ENSG00000138867	22	24936406	24951903	ENSMUSG00000033416	1
ENSG00000197037	7	99214569	99230030	ENSMUSG00000070420	1
ENSG00000164168	4	148538534	148593195	ENSMUSG00000031617	1
ENSG00000215440	20	57264187	57294294	ENSMUSG00000039263	1
ENSG00000142207	21	33683329	33765335	ENSMUSG00000039929	1
ENSG00000121210	4	154387498	154557863	ENSMUSG00000033767	1
ENSG00000205301	4	141363416	141419531	ENSMUSG00000035057	1
ENSG00000120217	9	5450503	5470566	ENSMUSG00000016496	1
ENSG00000088812	20	3451687	3631769	ENSMUSG00000027312	1
ENSG00000164877	7	1468101	1499138	ENSMUSG00000036718	1
ENSG00000136944	9	129376722	129463311	ENSMUSG00000038765	1
ENSG00000163793	2	27498289	27504367	ENSMUSG00000053856	1
ENSG00000163655	3	155588325	155661815	ENSMUSG00000027823	1
ENSG00000170917	4	123809852	123844123	ENSMUSG00000050174	1
ENSG00000130538	22	16448824	16449805	ENSMUSG00000057903	0
ENSG00000110958	12	57057127	57082159	ENSMUSG00000071072	1
ENSG00000165046	8	38243725	38267045	ENSMUSG00000037363	1
ENSG00000198445	22	17071667	17073700	ENSMUSG00000038044	1
ENSG00000006459	7	139784546	139876835	ENSMUSG00000042599	1
ENSG00000100028	22	24951471	25005947	ENSMUSG00000020180	1
ENSG00000197646	9	5510545	5571282	ENSMUSG00000016498	1
ENSG00000129055	3	134196548	134205558	ENSMUSG00000035048	1
ENSG00000185291	X	1455509	1501578	ENSMUSG00000068758	0
ENSG00000154328	8	11627148	11644855	ENSMUSG00000035121	1
ENSG00000185518	15	91643180	91844539	ENSMUSG00000053025	1
